?cls	?def	?xrefs
<http://vivoweb.org/ontology/core#GraduateAdvisingRelationship>	"An advisory relationship in which a professor advises a graduate student."	
<http://purl.org/ontology/bibo/Hearing>	"An instance or a session in which testimony and arguments are presented, esp. before an official, as a judge in a lawsuit."	
<http://vivoweb.org/ontology/core#Company>	"A legally-recognized business organization."	
<http://purl.org/ontology/bibo/Chapter>	"A main division of a book"	
<http://purl.obolibrary.org/obo/ERO_0000784>	"A student role inhering in a person that is realized when the bearer participates in a course of study at a college, university, etc. in pursuit of an associate or bachelor degree."	
<http://purl.org/ontology/bibo/Legislation>	"Enactments of legislative bodies, published in either statute or code form"	
<http://purl.org/ontology/bibo/BookSection>	"A section of a book"	
<http://www.w3.org/2006/vcard/ns#Calendar>		
<http://purl.obolibrary.org/obo/OBI_0000571>		
<http://purl.org/ontology/bibo/EditedBook>	"An edited collection of stand-alone articles published as a book"	
<http://vivoweb.org/ontology/core#Postdoc>	"A Person holding an academic employment appointment focused on research rather than teaching; temporary (or for some defined term)"	
<http://www.w3.org/2006/vcard/ns#Individual>		
<http://www.w3.org/2006/vcard/ns#Note>		
<http://xmlns.com/foaf/0.1/Group>	"A collection of individual agents."	
<http://purl.org/ontology/bibo/Collection>	"Collection of information resources that have a unified identity"	
<http://vivoweb.org/ontology/core#Institute>	"An organization founded to pursue or promote certain research, educational or public policy interests or activities."	
<http://vivoweb.org/ontology/core#ResearcherRole>	"A role of conducting funded or unfunded research,  sometimes linked to an Agreement."	
<http://aims.fao.org/aos/geopolitical.owl#group>		
<http://vivoweb.org/ontology/core#FundingOrganization>	"An organization that provides financial support to individuals or organizations to carry out specified activities."	
<http://purl.obolibrary.org/obo/ERO_0000012>	"A role inhering in a person or organization that is realized when the bearer participates in providing a service to meet the need of another person or thing."	
<http://purl.org/ontology/bibo/Slide>	"A slide in a slideshow"	
<http://vivoweb.org/ontology/core#Project>	"An endeavor, frequently collaborative, that occurs over a finite period of time and is intended to achieve a particular aim."	
