?cls	?def	?xrefs
<http://purl.org/ontology/bibo/CollectedDocument>	"Work consisting of collections of previously published works"	
<http://xmlns.com/foaf/0.1/Person>	"The most general classification of a person"	
<http://purl.org/ontology/bibo/Bill>	"Draft legislation presented for discussion to a legal body"	
<http://purl.org/net/OCRe/study_design.owl#Phase_0>	"A Phase 0 trial is an exploratory trial involving very limited human exposure, with no therapeutic or diagnostic intent (e.g., screening study, microdose study). [http://prsinfo.clinicaltrials.gov/definitions.html]"	
<http://purl.org/ontology/bibo/Workshop>	"Bibo Definition: A seminar, discussion group, or the like, that emphasizes exchange of ideas and the demonstration and application of techniques, skills, etc."	
<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>		
<http://purl.org/net/OCRe/study_design.owl#Phase_1>	"A Phase I trial assesses toxic effects on humans (not many people participate, and usually without controls) [Glossary of Terms in The Cochrane Collaboration]"	
<http://purl.obolibrary.org/obo/VIVOTEST_0000001>	"A testing person used for testing."@en	
<http://www.w3.org/2006/vcard/ns#Male>		
<http://purl.obolibrary.org/obo/ERO_0000015>	"Research project that uses or collects measurements or assessments about humans."	
<http://purl.org/ontology/bibo/Report>	"A document describing an account or statement describing in detail an event, situation, or the like, usually as the result of observation, inquiry, etc."	
<http://purl.org/ontology/bibo/PersonalCommunicationDocument>	"A personal communication manifested in some document."	
<http://purl.obolibrary.org/obo/OBI_0000094>		
<http://www.w3.org/2006/vcard/ns#Kin>		
<http://purl.org/ontology/bibo/Quote>	"An excerpted collection of words"	
<http://vivoweb.org/ontology/core#EventSeries>	"Two or more events that occur at different times and are connected to each other."	
<http://www.w3.org/2006/vcard/ns#Logo>		
<http://vivoweb.org/ontology/core#ResearchProposal>	"A proposal for a research grant that has been submitted but not approved; does not represent an existing activity"	
<http://vivoweb.org/ontology/core#Internship>	"Typically a student or a recent graduate undergoing supervised practical training."	
<http://purl.org/net/OCRe/study_design.owl#OCRE100038>	"Phase describes the level of a trial required of drugs before (and after) they are routinely used in clinical practice:\n- Phase I trials assess toxic effects on humans (not many people participate in them, and usually without controls);\n- Phase ll trials assess therapeutic benefit (usually involving a few hundred people, usually with controls, but not always);\n- Phase III trials compare the new treatment against standard (or placebo) treatment (usually a full randomised controlled trial). At this point, a drug can be approved for community use.\n- Phase IV monitors a new treatment in the community, often to evaluate longterm safety and effectiveness. [Glossary of Terms in The Cochrane Collaboration]\n\nA trial can be of a combination phase (e.g., I/II).\nThe concept of phase is not applicable to trials studying certain interventions (e.g., device, procedure, behavioral)"	
<http://www.w3.org/2006/vcard/ns#Type>		
<http://vivoweb.org/ontology/core#PostdocOrFellowAdvisingRelationship>	"An advisory relationship in which the advisee is a Postdoc or Fellow."	
<http://vivoweb.org/ontology/core#Contract>	"An agreement involving specific deliverables and payment"	
<http://purl.org/ontology/bibo/Document>	"A collection of information content entities intended to be understood together as a whole"@en	
<http://vivoweb.org/ontology/core#ClinicalRole>	"A role of observing or treating patients"	
<http://www.w3.org/2006/vcard/ns#Sound>		
<http://vivoweb.org/ontology/core#Building>	"Building that provides a particular service or is used for a particular activity."	
<http://www.w3.org/2006/vcard/ns#Geo>		
<http://purl.org/ontology/bibo/Webpage>	"One section of a website that appears at a unique address within the parent site's address or URL on the World Wide Web "	
<http://vivoweb.org/ontology/core#NonAcademicPosition>	"A position classified as professional, staff, support, or any other non-academic role"	
<http://www.w3.org/2006/vcard/ns#OrganizationUnitName>		
<http://purl.org/net/OCRe/study_design.owl#Phase_3>	"A Phase III trial compares the new treatment against standard (or placebo) treatment (usually a full\nrandomised controlled trial). At this point, a drug can be approved for community use. [Glossary of Terms in The Cochrane Collaboration]"	
<http://purl.obolibrary.org/obo/IAO_0000030>	"an information content entity is an entity that is generically dependent on some artifact and stands in relation of aboutness to some entity"@en	
<http://purl.org/ontology/bibo/Interview>	"A conversation between two or more people where questions are asked by the interviewer to obtain information from the interviewee."	
<http://purl.obolibrary.org/obo/BFO_0000141>		
<http://www.w3.org/2006/vcard/ns#Text>		
<http://vivoweb.org/ontology/core#LibrarianPosition>	"A position held  by library and information science professionals, or academic or technical experts, in support of providing information services or materials"	
<http://vivoweb.org/ontology/core#FacultyPosition>	"Academic position in a university or institution"	
<http://purl.org/ontology/bibo/CourtReporter>	"Collection of legal cases"	
<http://www.w3.org/2006/vcard/ns#Emergency>		
<http://purl.org/spar/c4o/GlobalCitationCount>	"The number of times a work has been cited globally, as determined from a particular bibliographic information source on a particular date."	
<http://purl.obolibrary.org/obo/ERO_0001256>	"A storage service offering that describes a service in which the consumer provides some material as input which a service provider stores and returns as output"	
<http://purl.obolibrary.org/obo/ERO_0001245>	"A technique that authorizes a use (such as copying software or using a (patented) invention) to a licensee, sparing the licensee from a claim of infringement brought by the licensor."	
<http://purl.obolibrary.org/obo/BFO_0000004>	"b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])"@en	
<http://aims.fao.org/aos/geopolitical.owl#geographical_region>		
<http://purl.obolibrary.org/obo/OBI_0000272>	"a protocol is a plan specification which has sufficient level of detail and quantitative information to communicate it between domain experts, so that different domain experts will reliably be able to independently reproduce the process."@en	
<http://vivoweb.org/ontology/core#UndergraduateStudent>	"A person registered in an undergraduate program leading to a bachelor's degree or an undergraduate diploma or certificate."	
<http://vivoweb.org/ontology/core#Facility>	"Something designed, built, installed, etc., to serve a specific function or activity affording a convenience or service."	
<http://purl.obolibrary.org/obo/IAO_0000030>	"The most general classification of an information resource"	
<http://purl.obolibrary.org/obo/ERO_0000565>	"An organization that provides services for commercialization and licensing of technologies at an institution."	
<http://vivoweb.org/ontology/core#Newsletter>	"Usually issued periodically, prepared by or for a group or institution to present information to a specific audience, often also made available to the press and public"	
<http://www.w3.org/2006/vcard/ns#Addressing>		
<http://purl.obolibrary.org/obo/BFO_0000031>		
<http://vivoweb.org/ontology/core#College>	"A primary academic unit within a University or a free-standing higher education organization without graduate degree programs."	
<http://vivoweb.org/ontology/core#EditorialArticle>	"An article of opinion, typically published in a newspaper. For academics, most commonly Op Ed pieces"	
<http://purl.obolibrary.org/obo/ERO_0000012>	"An role of an individual within his or her profession or institution; use outreach provider role for community service or other activities outside the profession."	
<http://vivoweb.org/ontology/core#FacultyMember>	"A person with at least one academic appointment to a specific faculty of a university or institution of higher learning."	
<http://aims.fao.org/aos/geopolitical.owl#disputed>		
<http://vivoweb.org/ontology/core#Database>	"A structured file of information or a set of logically related data stored and retrieved using computer-based means"	
<http://www.geneontology.org/formats/oboInOwl#SynonymType>		
<http://vivoweb.org/ontology/core#Student>	"A person who is enrolled in an educational institution."	
<http://vivoweb.org/ontology/core#Editorship>	"A relationship that represents the recognition of an agent as an editor."	
<http://vivoweb.org/ontology/core#Review>	"An article reviewing one or more other information resources (a book, one or more other articles, movies, etc)"	
<http://purl.org/ontology/bibo/LegalDocument>	"a document that states some contractual relationship or grants some right"	
<http://vivoweb.org/ontology/core#Museum>	"An organization devoted to the acquisition, conservation, study, exhibition, and educational interpretation of objects having scientific, historical, cultural or artistic value."	
<http://purl.org/net/OCRe/research.owl#Interventional_study>		
<http://vivoweb.org/ontology/core#ConferenceSeries>	"An organized series of a meeting for consultation or discussion."	
<http://vivoweb.org/ontology/core#Association>	"A formal organization of people or groups of people around a subject or practice."	
<http://purl.obolibrary.org/obo/BFO_0000034>		
<http://purl.org/ontology/bibo/Film>	"Audiovisual recording in film format"	
<http://vivoweb.org/ontology/core#AcademicDegree>	"An academic degree at any level, both as \n        reported by individuals for employment and as offered by academic degree programs."@en	
<http://purl.org/ontology/bibo/Article>	"A written composition in prose, usually nonfiction, on a specific topic, forming an independent part of a periodical or book"	
<http://www.w3.org/2006/vcard/ns#Sibling>		
<http://purl.org/ontology/bibo/Note>	"Notes or annotations about a resource"	
<http://purl.org/ontology/bibo/Performance>	"Something carried out, acted or rendered."	
<http://vivoweb.org/ontology/scientific-research#Phase3ClinicalTrial>	"In Phase 3 trials, an experimental study drug or treatment is given to large groups of people (1,000-3,000) to confirm its effectiveness, monitor side effects, compare it to commonly used treatments, and collect information that will allow the experimental drug or treatment to be used safely.\n"	
<http://purl.org/ontology/bibo/Issue>	"something that is printed or published and distributed, esp. a given number of a periodical"	
<http://purl.obolibrary.org/obo/OBI_0000835>	"A person or organization that has a manufacturer role"	
<http://purl.obolibrary.org/obo/ERO_0000225>	"A role inhering in a person or organization that is realized when the bearer participates in providing education to a student or group of students."	
<http://vivoweb.org/ontology/core#Translation>	"The result of rendering a work from one language to another"	
<http://vivoweb.org/ontology/scientific-research#Phase0ClinicalTrial>	"Phase 0 is a recent designation for exploratory, first-in-human trials  conducted in accordance with the United States Food and Drug Administration's (FDA) 2006 Guidance on Exploratory Investigational New Drug (IND) Studies.  Phase 0 trials are also known as human microdosing  studies and are designed to speed up the development of promising drugs or imaging agents by establishing very early on whether the drug or agent behaves in human subjects as was expected from preclinical studies."	
<http://www.w3.org/2006/vcard/ns#Female>		
<http://vivoweb.org/ontology/core#BlogPosting>	"An online article or commentary appearing on a blog"	
<http://vivoweb.org/ontology/core#PeerReviewerRole>	"A role of peer reviewing"	
<http://purl.obolibrary.org/obo/IAO_0000007>	"a directive information entity that describes an action the bearer will take"@en	
<http://aims.fao.org/aos/geopolitical.owl#territory>		
<http://aims.fao.org/aos/geopolitical.owl#area>		
<http://vivoweb.org/ontology/scientific-research#Phase3ClinicalTrial>	"Phase 3 Clinical Trial"	
<http://www.w3.org/2006/vcard/ns#Gender>		
<http://purl.org/spar/fabio/ClinicalGuideline>	"A recommendation on the appropriate treatment and care of people with a specific disease or condition, based on the best available evidence, designed to help healthcare professionals in their work."	
<http://vivoweb.org/ontology/scientific-research#Phase1ClinicalTrial>	"Phase 1 Clinical Trial"	
<http://vivoweb.org/ontology/core#Certificate>	"A document confirming certain characteristics of a person or organization, usually provided by some form of external review, education, or assessment."	
<http://purl.obolibrary.org/obo/ERO_0000005>	"An information content entity that describes a service performed by a person or organization with the objective of performing a technique, providing training, providing storage of data or material entities, or providing access to resources for another person or organization"	
<http://purl.org/ontology/bibo/Code>	"A work consisting of texts of rules and regulations related to statutes issued by executive or administrative agencies"	
<http://purl.obolibrary.org/obo/IAO_0000104>	"a directive information entity that when concretized it is realized in a process in which the bearer tries to achieve the objectives, in part by taking the actions specified. Plan specifications includes parts such as objective specification, action specifications and conditional specifications."@en	
<http://www.w3.org/2006/vcard/ns#Organization>		
<http://vivoweb.org/ontology/core#Team>	"An informal organization brought together for the purposes of a project or event"	
<http://purl.obolibrary.org/obo/ERO_0000016>	"An interventional study that contains a set of procedures in medical research and drug development that are conducted to allow safety (or more specifically, information about adverse drug reactions and adverse effects of other treatments) and efficacy data to be collected for health interventions (e.g., drugs, diagnostics, devices, therapy protocols) that is performed over phases."	
<http://vivoweb.org/ontology/core#OrganizerRole>	"A role of organizing"	
<http://purl.obolibrary.org/obo/IAO_0000027>	"a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements."@en	
<http://vivoweb.org/ontology/core#License>	"Official or legal permission to do something"	
<http://www.w3.org/2006/vcard/ns#Nickname>		
<http://purl.org/NET/c4dm/event.owl#Event>	"Something that happens at a given place and time."	
<http://vivoweb.org/ontology/core#ServiceProvidingLaboratory>	"A laboratory that provides services"	
<http://purl.org/ontology/bibo/Website>	"A group of webpages available within a specific parent address or URL on the World Wide Web"	
<http://vivoweb.org/ontology/core#ResearchOrganization>	"Any organization (likely also asserted as another class of Organization) with a primary, ongoing research function, not just through occasional roles"	
<http://vivoweb.org/ontology/core#F1000Link>		
<http://purl.obolibrary.org/obo/ERO_0000595>	"An offering through an ongoing program or single request of research support: internships, positions, financial awards or other forms of tangible or intangible support"	
<http://purl.obolibrary.org/obo/IAO_0000300>	"A textual entity is a part of a manifestation (FRBR sense), a generically dependent continuant whose concretizations are patterns of glyphs intended to be interpreted as words, formulas, etc."@en	
<http://aims.fao.org/aos/geopolitical.owl#other>		
<http://purl.obolibrary.org/obo/IAO_0000144>	"A textual entity that expresses the results of reasoning about a problem, for instance as typically found towards the end of scientific papers."@en	
<http://www.w3.org/2006/vcard/ns#Coresident>		
<http://www.w3.org/2006/vcard/ns#Other>		
<http://purl.obolibrary.org/obo/OBI_0001554>		
<http://www.w3.org/2006/vcard/ns#Cell>		
<http://vivoweb.org/ontology/core#Laboratory>	"An organization unit that facilitates or conduits observation, testing, experimentation, or research in a field of study or practice."	
<http://vivoweb.org/ontology/core#NonAcademic>	"A person holding a position that is not considered to be an academic appointment."	
<http://www.w3.org/2006/vcard/ns#Group>		
<http://vivoweb.org/ontology/core#Credential>	"An attestation of qualification, competence, or authority issued to an individual by a third \n        party with a relevant or  de facto authority or assumed competence to do so."@en	
<http://www.w3.org/2006/vcard/ns#TelephoneType>		
<http://www.w3.org/2006/vcard/ns#TextPhone>		
<http://www.w3.org/2006/vcard/ns#Spouse>		
<http://purl.obolibrary.org/obo/BFO_0000038>		
<http://aims.fao.org/aos/geopolitical.owl#non_self_governing>		
<http://vivoweb.org/ontology/core#EducationalProcess>	"Represents educational training that has been received."	
<http://www.w3.org/2006/vcard/ns#Category>		
<http://purl.org/ontology/bibo/Conference>	"A meeting for consultation or discussion."	
<http://www.w3.org/2006/vcard/ns#Date>		
<http://vivoweb.org/ontology/core#GeographicRegion>	"A location having coordinates in geographic space."	
<http://vivoweb.org/ontology/core#PrimaryPosition>	"A position designated as primary by the organization where it is held."	
<http://purl.org/ontology/bibo/AcademicArticle>	"Written by scholars for other scholars, typically published in an academic journal with an abstract and bibliography"	
<http://vivoweb.org/ontology/core#Location>	"Top level of all location classes."	
<http://purl.obolibrary.org/obo/ERO_0001259>	"A maintenance service offering that describes a service in which the provider actively maintains a material resource (e.g. a model organism colony) for the service consumer.  A material maintenance service may or may not include storage of the material input."	
<http://vivoweb.org/ontology/core#IssuedCredential>		
<http://purl.obolibrary.org/obo/ERO_0000914>	"A student role inhering in a person that is realized when the bearer participates in a post-graduate training program in pursuit of new or additional training in a particular field, such as a post-doctoral fellowship."	
<http://purl.obolibrary.org/obo/BFO_0000001>		
<http://purl.obolibrary.org/obo/IAO_0000033>	"An information content entity whose concretizations indicate to their bearer how to realize them in a process."@en	
<http://aims.fao.org/aos/geopolitical.owl#organization>		
<http://vivoweb.org/ontology/core#Dataset>	"A named collection of data, usually containing only one type of data"	
<http://schema.org/Person>		
<http://vivoweb.org/ontology/core#AdvisingRelationship>	"A dual relationship of one person being advised or mentored by another person, typically including start and end dates"	
<http://vivoweb.org/ontology/core#InvestigatorRole>	"A role in an Agreement (for example, a grant) as a named investigator or key personnel."	
<http://purl.org/ontology/bibo/Letter>	"A written or printed communication addressed to a person or organization and usually transmitted by mail"	
<http://vivoweb.org/ontology/core#EmeritusProfessor>	"A retired professor who has retained their rank, title and privileges."	
<http://purl.obolibrary.org/obo/BFO_0000002>	"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts."@en	
<http://xmlns.com/foaf/0.1/Organization>	"A kind of Agent corresponding to social instititutions such as companies, societies etc."	
<http://vivoweb.org/ontology/scientific-research#Phase1ClinicalTrial>	"In Phase I trials, researchers test an experimental drug or treatment in a small group of people (20-80) for the first time to evaluate its safety, determine a safe dosage range, and identify side effects"	
<http://purl.obolibrary.org/obo/ERO_0001716>	"A database is an organized collection of data, today typically in digital form."	
<http://vivoweb.org/ontology/core#Certification>	"An issued certificate"	
<http://purl.obolibrary.org/obo/BFO_0000016>		
<http://web.resource.org/cc/Work>		
<http://www.w3.org/2006/vcard/ns#Kind>		
<http://www.w3.org/2006/vcard/ns#Name>		
<http://www.geneontology.org/formats/oboInOwl#Definition>		
<http://vivoweb.org/ontology/core#Competition>	"An occasion on which a winner is selected from among two or more contestants."	
<http://www.w3.org/2006/vcard/ns#Related>		
<http://vivoweb.org/ontology/scientific-research#Phase4ClinicalTrial>	"In Phase 4 trials, post marketing studies delineate additional information including the drug's or treatment's risks, benefits, and optimal use."	
<http://purl.obolibrary.org/obo/ERO_0001260>	"A maintenance service offering that describes a service in which the provider actively manages or maintains data or a database for the service consumer.  Maintenance of the data is performed to maintain its integrity or enhance its quality or utility for the consumer, but new data is not generated as a result of the maintenance."	
<http://www.w3.org/2006/vcard/ns#CalendarBusy>		
<http://vivoweb.org/ontology/core#Team>	"A group of people working together."	
<http://purl.obolibrary.org/obo/GO_0008150>		
<http://vivoweb.org/ontology/core#Association>	"A group of persons or organizations organized for a common purpose."	
<http://purl.obolibrary.org/obo/ERO_0000778>	"A US resident role that inheres in an individual who is not a legally recognized subject or national of the United States."	
<http://xmlns.com/foaf/0.1/Agent>	"Things that do stuff."	
<http://vivoweb.org/ontology/core#ExtensionUnit>	"A unit devoted primarily to extension activities, whether for outreach or research."	
<http://www.geneontology.org/formats/oboInOwl#DbXref>		
<http://vivoweb.org/ontology/core#CollectionProcess>	"A process which has as its output, a collection of material entities and/or information content entities"@en	
<http://vivoweb.org/ontology/core#TeacherRole>	"A role of serving as an educator"	
<http://vivoweb.org/ontology/core#ClinicalOrganization>	"Any organization that offers significant health services or routinely provides medical care to patients."	
<http://purl.obolibrary.org/obo/BFO_0000148>		
<http://purl.org/dc/terms/Agent>		
<http://vivoweb.org/ontology/core#PopulatedPlace>	"Either city or town - a thickly populated area having fixed boundaries and certain local powers of government."	
<http://purl.obolibrary.org/obo/IAO_0000003>	"A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure."@en	
<http://purl.org/ontology/bibo/Proceedings>	"A compilation of documents published from an event, such as a conference"	
<http://www.geneontology.org/formats/oboInOwl#Synonym>		
<http://purl.obolibrary.org/obo/ERO_0000783>	"A role inhering in a person that is realized when the bearer participates a course of study, as in a school, college, university, etc."	
<http://www.w3.org/2006/vcard/ns#Email>		
<http://vivoweb.org/ontology/core#Committee>	"A group of people organized for a specific purpose (e.g., a reporting or advisory role), often with a charge and for a specific duration"	
<http://purl.obolibrary.org/obo/BFO_0000040>	"An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time."@en	
<http://vivoweb.org/ontology/core#AcademicYear>	"An explicit individual period considered by an academic institution to be its primary academic cycle."	
<http://purl.obolibrary.org/obo/GO_0016301>		
